iata,name,city,country,latitude,longitude,timezone
AAC,El Arish International Airport,El Arish,Egypt,31.055324,33.827964,Africa/Cairo
AAD,Adado Airport,Adado,Somalia,6.095802,46.6375,Africa/Mogadishu
AAE,Annaba Rabah Bitat Airport,Annabah,Algeria,36.826781,7.81334,Africa/Algiers
AAF,Apalachicola Regional Airport,Apalachicola,United States,29.727501,-85.027496,America/New_York
AAH,Aachen-Merzbrück Airport,Aachen,Germany,50.823055,6.186389,Europe/Berlin
AAI,Arraias Airport,Arraias,Brazil,-13.025154,-46.884107,America/Araguaina
AAJ,Cayana Airstrip,Awaradam,Suriname,3.898681,-55.577907,America/Paramaribo
AAK,Aranuka Airport,Buariki,Kiribati,0.185278,173.636993,Pacific/Tarawa
AAL,Aalborg Airport,Aalborg,Denmark,57.094763,9.84993,Europe/Copenhagen
AAM,Malamala Airport,Malamala,South Africa,-24.816866,31.544085,Africa/Johannesburg
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.2617,55.6092,Asia/Dubai
AAO,Anaco Airport,Anaco,Venezuela,9.430225,-64.470726,America/Caracas
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,Indonesia,-0.374478,117.250128,Asia/Makassar
AAQ,Anapa Vityazevo Airport,Anapa,Russia,45.002102,37.347301,Europe/Moscow
AAR,Aarhus Airport,Aarhus,Denmark,56.303331,10.618286,Europe/Copenhagen
AAT,Altay Xuedu Airport,Altay,China,47.749886,88.085808,Asia/Shanghai
AAU,Asau Airport,Asau,Samoa,-13.505132,-172.627888,Pacific/Apia
AAV,Allah Valley Airport,Surallah,Philippines,6.367903,124.752431,Asia/Manila
AAX,Romeu Zema Airport,Araxa,Brazil,-19.5632,-46.9604,America/Sao_Paulo
AAZ,Quezaltenango Airport,Quezaltenango,Guatemala,14.8656,-91.501999,America/Guatemala
ABA,Abakan International Airport,Abakan,Russia,53.740002,91.385002,Asia/Krasnoyarsk
ABB,Asaba International Airport,Asaba,Nigeria,6.204167,6.665278,Africa/Lagos
ABC,Albacete Airport / Los Llanos Air Base,Albacete,Spain,38.948502,-1.86352,Europe/Madrid
ABD,Abadan Ayatollah Jami International Airport,Abadan,Iran,30.367887,48.230075,Asia/Tehran
ABE,Lehigh Valley International Airport,Allentown,United States,40.651773,-75.442797,America/New_York
ABF,Abaiang Airport,Abaiang,Kiribati,1.79861,173.041,Pacific/Tarawa
ABI,Abilene Regional Airport,Abilene,United States,32.4113006592,-99.6819000244,America/Chicago
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,Côte d'Ivoire,5.26139,-3.92629,Africa/Abidjan
ABK,Kebri Dahar Airport,Kabri Dehar,Ethiopia,6.732577,44.241339,Africa/Addis_Ababa
ABL,Ambler Airport,Ambler,United States,67.105529,-157.855339,America/Anchorage
ABN,Albina Airport,Albina,Suriname,5.51272,-54.050098,America/Cayenne
ABO,Aboisso Airport,Aboisso,Côte d'Ivoire,5.461944,-3.234722,Africa/Abidjan
ABQ,Albuquerque International Sunport,Albuquerque,United States,35.039976,-106.608925,America/Denver
ABR,Aberdeen Regional Airport,Aberdeen,United States,45.4491004943848,-98.4217987060547,America/Chicago
ABS,Abu Simbel Airport,Abu Simbel,Egypt,22.374402,31.609881,Africa/Cairo
ABU,AA Bere Tallo (Haliwen) Airport,Atambua-Timor Island,Indonesia,-9.074841,124.903285,Asia/Makassar
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.00679,7.26317,Africa/Lagos
ABX,Albury Airport,Albury,Australia,-36.066758,146.959148,Australia/Melbourne
ABY,Southwest Georgia Regional Airport,Albany,United States,31.532946,-84.196215,America/New_York
ABZ,Aberdeen International Airport,Aberdeen,United Kingdom,57.2019,-2.19778,Europe/London
ACA,General Juan N. Álvarez International Airport,Acapulco,Mexico,16.757126,-99.753113,America/Mexico_City
ACB,Antrim County Airport,Bellaire,United States,44.988602,-85.198402,America/Detroit
ACC,Kotoka International Airport,Accra,Ghana,5.60518980026245,-0.166786000132561,Africa/Accra
ACD,Alcides Fernández Airport,Acandi,Colombia,8.497847,-77.274106,America/Bogota
ACE,César Manrique-Lanzarote Airport,Lanzarote Island,Spain,28.945499,-13.6052,Atlantic/Canary
ACF,Aral Tarim Airport,Aral,China,40.434748,81.26206,Asia/Shanghai
ACH,Sankt Gallen Altenrhein Airport,Altenrhein,Switzerland,47.485001,9.56077,Europe/Vienna
ACI,Alderney Airport,Saint Anne,Guernsey,49.706104,-2.21472,Europe/Guernsey
ACJ,Anuradhapura Airport,Anuradhapura,Sri Lanka,8.301542,80.42848,Asia/Colombo
ACK,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355,America/New_York
ACN,Ciudad Acuña New International Airport,Ciudad Acuna,Mexico,29.333662,-101.100555,America/Matamoros
ACP,Sahand Airport,Maragheh,Iran,37.3479995727539,46.1278991699219,Asia/Tehran
ACR,Araracuara Airport,Araracuara,Colombia,-0.600854,-72.398011,America/Bogota
ACS,Achinsk Airport,Achinsk,Russia,56.269185,90.57511,Asia/Krasnoyarsk
ACT,Waco Regional Airport,Waco,United States,31.6112995147705,-97.2304992675781,America/Chicago
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,United States,40.978101,-124.109,America/Los_Angeles
ACX,Xingyi Wanfenglin Airport,Xingyi,China,25.083423,104.960804,Asia/Shanghai
ACY,Atlantic City International Airport,Atlantic City,United States,39.456201,-74.577511,America/New_York
ADA,Adana Şakirpaşa Airport,Adana,Turkey,36.982201,35.280399,Europe/Istanbul
ADB,Adnan Menderes International Airport,Izmir,Turkey,38.2924,27.157,Europe/Istanbul
ADC,Andakombe Airport,Andekombe,Papua New Guinea,-7.13722222222,145.744722222,Pacific/Port_Moresby
ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,8.97789,38.799301,Africa/Addis_Ababa
ADE,Aden International Airport,Aden,Yemen,12.829564,45.029976,Asia/Aden
ADF,Adıyaman Airport,Adiyaman,Turkey,37.7314,38.468899,Europe/Istanbul
ADG,Lenawee County Airport,Adrian,United States,41.866205,-84.077983,America/Detroit
ADH,Aldan Airport,Aldan,Russia,58.6027984619141,125.408996582031,Asia/Yakutsk
ADI,Arandis Airport,Arandis,Namibia,-22.461875,14.979322,Africa/Windhoek
ADJ,Marka International (Amman Civil) Airport,Amman,Jordan,31.9727,35.9916,Asia/Amman
ADK,Adak Airport,Adak Island,United States,51.883564,-176.642783,America/Adak
ADL,Adelaide International Airport,Adelaide,Australia,-34.947512,138.533393,Australia/Adelaide
ADM,Ardmore Municipal Airport,Ardmore,United States,34.30301,-97.0196342,America/Chicago
ADP,Ampara Airport,Ampara,Sri Lanka,7.336745,81.623869,Asia/Colombo
ADQ,Kodiak Airport,Kodiak,United States,57.75,-152.4940033,America/Anchorage
ADR,Robert F Swinnie Airport,Andrews,United States,33.4516983032,-79.5261993408,America/New_York
ADS,Addison Airport,Dallas,United States,32.9686012268,-96.8364028931,America/Chicago
ADT,Ada Regional Airport,Ada,United States,34.805214,-96.671988,America/Chicago
ADU,Ardabil Airport,Ardabil,Iran,38.3256988525,48.4244003296,Asia/Tehran
ADW,Joint Base Andrews,Camp Springs,United States,38.810799,-76.866997,America/New_York
ADX,Leuchars Station Airfield,St. Andrews,United Kingdom,56.37398,-2.868862,Europe/London
ADY,Alldays Airport,Alldays,South Africa,-22.679001,29.0555,Africa/Johannesburg
